Symbol,Count,Percentage
e,194035,0.11816322218047333
t,143006,0.08708763754549834
a,127136,0.07742314229462034
o,118818,0.07235765574787786
n,109741,0.066829954210876
i,109553,0.06671546617639805
s,100894,0.06144231782243759
r,96027,0.05847841748305364
h,86702,0.05279968917716597
l,65508,0.039892990226497525
d,64542,0.039304716602531035
c,46587,0.028370500330980035
u,43037,0.026208625211848538
m,39550,0.024085115763845286
f,34532,0.021029259609534903
g,31922,0.019439824662793155
w,31301,0.01906164876167184
p,30798,0.018755332371552646
y,27467,0.016726823633009823
b,25141,0.015310338695798594
.,20880,0.012715479573933998
",",19899,0.012118071266365547
',17137,0.010436071525790562
v,14997,0.009132856665243686
k,12590,0.00766704443658185
-,5826,0.0035479111110028484
j,2832,0.001724628264050818
x,2668,0.0016247557233360107
?,2084,0.0012691120417662094
0,1955,0.0011905537627893183
1,1826,0.0011119954838124271
;,1666,0.0010145588587248103
q,1513,0.0009213850859847767
z,1348,0.0008209035663631719
2,1089,0.0006631780295025922
5,855,0.0005206769653119525
:,810,0.0004932729145060603
3,701,0.0004268942136651213
9,680,0.00041410565662237155
!,627,0.00038182977456209847
(,624,0.0003800028378417057
),622,0.00037878488002811045
6,567,0.0003452910401542422
4,550,0.00033493839873868287
8,438,0.0002667327611773511
7,430,0.00026186092992297027
$,358,0.00021801444863354269
/,112,6.820563756133179e-05
&,63,3.836567112824913e-05
%,46,2.8013029712689843e-05
*,2,1.2179578135952105e-06
+,1,6.089789067976052e-07
